BCProviderRegistry
=========================================

Generic: line 0, col 0, Warning - The HTML fragment 'ip-statements.xhtml' is not included anywhere in the produced implementation guide (NOTFOUND)
/github/workspace/fsh-generated/resources/Bundle-Example-UpdatePractitioner-Bundle.json: line 186, col 18, Error - None of the codings provided are in the value set 'BC License Status Class Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-license-status-class-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-license-status-class-code-system#LIC) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-UpdatePractitioner-Bundle.json: line 203, col 18, Error - A definition for CodeSystem 'https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-end-reason-code-system' could not be found, so the code cannot be validated (NOTFOUND)
/github/workspace/fsh-generated/resources/Bundle-Example-UpdatePractitioner-Bundle.json: line 203, col 18, Error - None of the codings provided are in the value set 'BC End Reason Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-end-reason-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-end-reason-code-system#CHG) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-UpdatePractitioner-Bundle.json: line 243, col 18, Error - A definition for CodeSystem 'https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-end-reason-code-system' could not be found, so the code cannot be validated (NOTFOUND)
/github/workspace/fsh-generated/resources/Bundle-Example-UpdatePractitioner-Bundle.json: line 243, col 18, Error - None of the codings provided are in the value set 'BC End Reason Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-end-reason-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-end-reason-code-system#CHG) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-UpdatePractitioner-Bundle.json: line 276, col 18, Error - A definition for CodeSystem 'https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-end-reason-code-system' could not be found, so the code cannot be validated (NOTFOUND)
/github/workspace/fsh-generated/resources/Bundle-Example-UpdatePractitioner-Bundle.json: line 276, col 18, Error - None of the codings provided are in the value set 'BC End Reason Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-end-reason-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-end-reason-code-system#CHG) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-UpdatePractitioner-Bundle.json: line 324, col 18, Error - A definition for CodeSystem 'https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-end-reason-code-system' could not be found, so the code cannot be validated (NOTFOUND)
/github/workspace/fsh-generated/resources/Bundle-Example-UpdatePractitioner-Bundle.json: line 324, col 18, Error - None of the codings provided are in the value set 'BC End Reason Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-end-reason-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-end-reason-code-system#CHG) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-UpdatePractitioner-Bundle.json: line 358, col 18, Error - A definition for CodeSystem 'https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-end-reason-code-system' could not be found, so the code cannot be validated (NOTFOUND)
/github/workspace/fsh-generated/resources/Bundle-Example-UpdatePractitioner-Bundle.json: line 358, col 18, Error - None of the codings provided are in the value set 'BC End Reason Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-end-reason-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-end-reason-code-system#CEASE) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-UpdatePractitioner-Bundle.json: line 385, col 14, Error - A definition for CodeSystem 'https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-end-reason-code-system' could not be found, so the code cannot be validated (NOTFOUND)
/github/workspace/fsh-generated/resources/Bundle-Example-UpdatePractitioner-Bundle.json: line 385, col 14, Error - None of the codings provided are in the value set 'BC End Reason Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-end-reason-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-end-reason-code-system#CHG) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-UpdatePractitioner-Bundle.json: line 82, col 18, Error - A definition for CodeSystem 'https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-end-reason-code-system' could not be found, so the code cannot be validated (NOTFOUND)
/github/workspace/fsh-generated/resources/Bundle-Example-UpdatePractitioner-Bundle.json: line 82, col 18, Error - None of the codings provided are in the value set 'BC End Reason Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-end-reason-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-end-reason-code-system#CHG) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-UpdatePractitioner-Bundle.json: line 99, col 18, Error - A definition for CodeSystem 'https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-communication-purpose-code-system' could not be found, so the code cannot be validated (NOTFOUND)
/github/workspace/fsh-generated/resources/Bundle-Example-UpdatePractitioner-Bundle.json: line 99, col 18, Error - None of the codings provided are in the value set 'BC Communication Purpose Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-communication-purpose-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-communication-purpose-code-system#BC) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-UpdatePractitioner-Bundle.json: line 110, col 18, Error - A definition for CodeSystem 'https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-end-reason-code-system' could not be found, so the code cannot be validated (NOTFOUND)
/github/workspace/fsh-generated/resources/Bundle-Example-UpdatePractitioner-Bundle.json: line 110, col 18, Error - None of the codings provided are in the value set 'BC End Reason Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-end-reason-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-end-reason-code-system#CHG) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-UpdatePractitioner-Bundle.json: line 130, col 18, Error - A definition for CodeSystem 'https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-communication-purpose-code-system' could not be found, so the code cannot be validated (NOTFOUND)
/github/workspace/fsh-generated/resources/Bundle-Example-UpdatePractitioner-Bundle.json: line 130, col 18, Error - None of the codings provided are in the value set 'BC Communication Purpose Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-communication-purpose-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-communication-purpose-code-system#BC) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-UpdatePractitioner-Bundle.json: line 141, col 18, Error - A definition for CodeSystem 'https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-end-reason-code-system' could not be found, so the code cannot be validated (NOTFOUND)
/github/workspace/fsh-generated/resources/Bundle-Example-UpdatePractitioner-Bundle.json: line 141, col 18, Error - None of the codings provided are in the value set 'BC End Reason Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-end-reason-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-end-reason-code-system#CHG) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-UpdatePractitioner-Bundle.json: line 43, col 18, Error - A definition for CodeSystem 'https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-communication-purpose-code-system' could not be found, so the code cannot be validated (NOTFOUND)
/github/workspace/fsh-generated/resources/Bundle-Example-UpdatePractitioner-Bundle.json: line 43, col 18, Error - None of the codings provided are in the value set 'BC Communication Purpose Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-communication-purpose-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-communication-purpose-code-system#BC) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-UpdatePractitioner-Bundle.json: line 54, col 18, Error - A definition for CodeSystem 'https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-end-reason-code-system' could not be found, so the code cannot be validated (NOTFOUND)
/github/workspace/fsh-generated/resources/Bundle-Example-UpdatePractitioner-Bundle.json: line 54, col 18, Error - None of the codings provided are in the value set 'BC End Reason Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-end-reason-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-end-reason-code-system#CHG) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-UpdatePractitioner-Bundle.json: line 448, col 18, Error - A definition for CodeSystem 'https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-end-reason-code-system' could not be found, so the code cannot be validated (NOTFOUND)
/github/workspace/fsh-generated/resources/Bundle-Example-UpdatePractitioner-Bundle.json: line 448, col 18, Error - None of the codings provided are in the value set 'BC End Reason Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-end-reason-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-end-reason-code-system#CHG) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-UpdatePractitioner-Bundle.json: line 461, col 12, Error - A definition for CodeSystem 'http://fhir.infoway-inforoute.ca/CodeSystem/scptype' could not be found, so the code cannot be validated (NOTFOUND)
/github/workspace/fsh-generated/resources/Bundle-Example-UpdatePractitioner-Bundle.json: line 461, col 12, Error - None of the codings provided are in the value set 'BC Practitioner Role Code Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-practitioner-role-value-set|1.0.0), and a coding from this value set is required) (codes = http://fhir.infoway-inforoute.ca/CodeSystem/scptype#MD) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-UpdatePractitioner-Bundle.json: line 448, col 18, Error - A definition for CodeSystem 'https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-end-reason-code-system' could not be found, so the code cannot be validated (NOTFOUND)
/github/workspace/fsh-generated/resources/Bundle-Example-UpdatePractitioner-Bundle.json: line 448, col 18, Error - None of the codings provided are in the value set 'BC End Reason Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-end-reason-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-end-reason-code-system#CHG) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-UpdatePractitioner-Bundle.json: line 527, col 14, Error - A definition for CodeSystem 'https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-end-reason-code-system' could not be found, so the code cannot be validated (NOTFOUND)
/github/workspace/fsh-generated/resources/Bundle-Example-UpdatePractitioner-Bundle.json: line 527, col 14, Error - None of the codings provided are in the value set 'BC End Reason Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-end-reason-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-end-reason-code-system#CHG) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-UpdatePractitioner-Bundle.json: line 527, col 14, Error - A definition for CodeSystem 'https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-end-reason-code-system' could not be found, so the code cannot be validated (NOTFOUND)
/github/workspace/fsh-generated/resources/Bundle-Example-UpdatePractitioner-Bundle.json: line 527, col 14, Error - None of the codings provided are in the value set 'BC End Reason Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-end-reason-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-end-reason-code-system#CHG) (CODEINVALID)
